,,"Listado de productos Bioequivalentes, actualizado al 21 de Agosto de 2015",,,,,
"N°","Principio Activo","Producto","Registro","Titular","Resolución","Fecha resolución","Uso / Tratamiento"
"1","ANASTROZOL","ANASTROZOL COMPRIMIDOS RECUBIERTOS 1 mg","F‐16801","SYNTHON CHILE LTDA.","RESOLUCIÓN N° 1336","16‐03‐2009","Cáncer de mama"
"2","ANASTROZOL","MADELEN COMPRIMIDOS RECUBIERTOS 1 mg","F‐16807","SYNTHON CHILE LTDA.","RESOLUCIÓN N° 1336","16‐03‐2009","Cáncer de mama"
"3","ESCITALOPRAM","NEOPRESOL COMPRIMIDOS RECUBIERTOS 10 mg","F‐15836","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN N° 4204","20‐08‐2009","Antidepresivo"
"4","ABACAVIR","MESABEX COMPRIMIDOS RECUBIERTOS 300 mg","F‐17883","LABORATORIOS LAFI LTDA.","RESOLUCIÓN N° 77","12‐01‐2010","tratamiento de VIH/SIDA"
"5","QUETIAPINA","GOFYL COMPRIMIDOS RECUBIERTOS 25 mg","F‐16950","AXON PHARMA S.p.A.","RESOLUCIÓN N° 794","30‐03‐2010","Trastornos mentales"
"6","QUETIAPINA","GOFYL COMPRIMIDOS RECUBIERTOS 200 mg","F‐16948","AXON PHARMA SPA.","RESOLUCIÓN N° 1438","19‐05‐2010","Trastornos mentales"
"7","QUETIAPINA","GOFYL COMPRIMIDOS RECUBIERTOS 100 mg","F‐16949","AXON PHARMA SPA.","RESOLUCIÓN N° 1439","19‐05‐2010","Trastornos mentales"
"8","CICLOBENZAPRINA","TENSIOMAX COMPRIMIDOS RECUBIERTOS 10 mg","F‐9711","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN N° 1440","19‐05‐2010","Relajante muscular"
"9","CLORFENAMINA","CLORFENAMINA MALEATO COMPRIMIDOS RECUBIERTOS 4 mg","F‐14519","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 1665","02‐06‐2010","Antialérgico"
"10","BICALUTAMIDA","BIOLEV COMPRIMIDOS RECUBIERTOS 150 mg","F‐17057","SYNTHON CHILE LTDA.","RESOLUCIÓN N° 1740","09‐06‐2010","Cáncer de próstata"
"11","DESLORATADINA","NEOLARMAX COMPRIMIDOS RECUBIERTOS 5 mg","F‐14617","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 2060","12‐07‐2010","Antialérgico"
"12","BICALUTAMIDA","BIOLEV COMPRIMIDOS RECUBIERTOS  50 mg","F‐17047","SYNTHON CHILE LTDA.","RESOLUCIÓN N° 2118","19‐07‐2010","Cáncer de próstata"
"13","CICLOSPORINA","EQUORAL CÁPSULAS BLANDAS 100 mg","F‐14878","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 2717","15‐09‐2010","Trasplante de órganos"
"14","CLORFENAMINA","HISTAFED COMPRIMIDOS 4 mg","F‐15502","LABORATORIOS  MDK S.A.","RESOLUCIÓN N° 2952","15‐10‐2010","Antialérgico"
"15","LETROZOL","TIADIS  COMPRIMIDOS RECUBIERTOS 2,5 mg","F‐17717","SYNTHON  CHILE LTDA.","RESOLUCIÓN N° 3200","08‐11‐2010","Cáncer de mama"
"16","PRAMIPEXOL","MUVEND  COMPRIMIDOS 0,25 mg","F‐17685","SYNTHON  CHILE LTDA.","RESOLUCIÓN N° 3205","08‐11‐2010","Tratamiento de Parkinson"
"17","DONEPECILO","EVIMAL COMPRIMIDOS RECUBIERTOS 10 mg","F‐12081","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 3488","07‐12‐2010","Tratamiento de Alzheimer"
"18","OLANZAPINA","OLANZYL COMPRIMIDOS RECUBIERTOS 10 mg","F‐16439","AXON PHARMA SPA.","RESOLUCIÓN  N° 243","28‐01‐2011","Tratamiento de esquizofrenia"
"19","CICLOSPORINA","EQUORAL CÁPSULAS BLANDAS 25 mg","F‐14876","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 273","03‐02‐2011","Trasplante de órganos"
"20","CICLOSPORINA","EQUORAL CÁPSULAS BLANDAS 50 mg","F‐14877","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 274","03‐02‐2011","Trasplante de órganos"
"21","MICOFENOLATO MOFETILO","SUPRIMUN COMPRIMIDOS RECUBIERTOS 500 mg","F‐15308","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN N° 419","04‐03‐2011","Trasplante de órganos"
"22","EFAVIRENZ","VOVIRENS COMPRIMIDOS RECUBIERTOS 600 mg","F‐18539","OPKO CHILE S.A.","RESOLUCIÓN RW 3067","11‐03‐2011","tratamiento de VIH/SIDA"
"23","ALPRAZOLAM","TRANQUINAL COMPRIMIDOS 0,5 mg","F‐9663","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN N° 450","14‐03‐2011","Ansiedad"
"24","CLORFENAMINA","CLORFENAMINA MALEATO COMPRIMIDOS 4 mg","F‐3901","LABORATORIO CHILE S.A.","RESOLUCIÓN  N° 987","01‐06‐2011","Antialérgico"
"25","VENLAFAXINA","NERVIX COMPRIMIDOS RECUBIERTOS 75 mg","F‐12491","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN N° 1074","13‐06‐2011","Antidepresivo"
"26","CLORFENAMINA","PRODEL COMPRIMIDOS 4 mg","F‐1209","LABORATORIO PASTEUR S.A.","RESOLUCIÓN N° 1167","28‐06‐2011","Antialérgico"
"27","OLANZAPINA","OLANZYL COMPRIMIDOS RECUBIERTOS 5 mg","F‐16440","AXON PHARMA SPA.","RESOLUCIÓN N° 1193","01‐07‐2011","Tratamiento de esquizofrenia"
"28","FLUOXETINA","LIVERTOX COMPRIMIDOS RECUBIERTOS 20 mg","F‐9657","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN N° 1249","07‐07‐2011","Antidepresivo"
"29","LAMIVUDINA + ZIDOVUDINA","LAMIVUDINA + ZIDOVUDINA COMPRIMIDOS RECUBIERTOS","F‐18059","OPKO CHILE S.A.","CERTIFICADO N° 916","03‐08‐2011","tratamiento de VIH/SIDA"
"30","MICOFENOLATO MOFETILO","MICOFENOLATO MOFETILO CÁPSULAS 250 mg","F‐18230","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 1702","09‐09‐2011","Trasplante de órganos"
"31","MICOFENOLATO MOFETILO","MICOFENOLATO MOFETILO COMPRIMIDOS RECUBIERTOS
500 mg","F‐18229","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 1707","09‐09‐2011","Trasplante de órganos"
"32","LAMIVUDINA","LAMIVUDINA COMPRIMIDOS RECUBIERTOS 150 mg","F‐18240","OPKO CHILE S.A.","CERTIFICADO N° 1126","20‐09‐2011","tratamiento de VIH/SIDA"
"33","NEVIRAPINA","NEVIRAPINA COMPRIMIDOS 200 mg","F‐18330","OPKO CHILE S.A.","CERTIFICADO N° 1127","20‐09‐2011","tratamiento de VIH/SIDA"
"34","LAMIVUDINA","MIXOVIR COMPRIMIDOS RECUBIERTOS 150 mg","F‐11807","LABORATORIOS ANDRÓMACO S.A.","CERTIFICADO N° 1128","20‐09‐2011","tratamiento de VIH/SIDA"
"35","LAMIVUDINA + ZIDOVUDINA","BIVIR COMPRIMIDOS RECUBIERTOS","F‐12502","LABORATORIOS ANDRÓMACO S.A.","CERTIFICADO N° 1201","05‐10‐2011","tratamiento de VIH/SIDA"
"36","NEVIRAPINA","NEVIRAPINA COMPRIMIDOS 200 mg","F‐16088","LABORATORIOS ANDRÓMACO S.A.","CERTIFICADO N° 1202","05‐10‐2011","tratamiento de VIH/SIDA"
"37","ZIDOVUDINA","MANTAVIRAL COMPRIMIDOS RECUBIERTOS 300 mg","F‐10104","LABORATORIOS ANDRÓMACO S.A.","CERTIFICADO N° 1203","05‐10‐2011","tratamiento de VIH/SIDA"
"38","LAMIVUDINA + ZIDOVUDINA","LAMIVUDINA + ZIDOVUDINA 150/300 COMPRIMIDOS RECUBIERTOS","F‐18940","LABORATORIOS ANDRÓMACO S.A.","CERTIFICADO N° 1436","28‐11‐2011","tratamiento de VIH/SIDA"
