"Listado de productos Bioequivalentes, actualizado al 31 de Diciembre de 2015",,,,,,,
N°,Uso / Tratamiento,Principio Activo,Producto de referencia,Titular,Producto,Registro,Titular
1,Acné,ISOTRETINOÍNA,Roaccutan,Roche,ORALNE CÁPSULAS BLANDAS 20 mg,F-19579,DEUTSCHE PHARMA S.A.
2,Acné,ISOTRETINOÍNA,Roaccutan,Roche,ORALNE CÁPSULAS BLANDAS 5 mg (ISOTRETINOÍNA),F-21607,DEUTSCHE PHARMA S.A.
3,Acné,ISOTRETINOÍNA,Roaccutan,Roche,ORALNE CÁPSULAS BLANDAS 10 mg,F-19577,DEUTSCHE PHARMA S.A.
4,Acné,ISOTRETINOÍNA,Roaccutan,Roche,ISDIBEN 20 CÁPSULAS BLANDAS 20 mg,F-15492,ISDIN CHILE LTDA.
5,Acné,ISOTRETINOÍNA,Roaccutan,Roche,ISDIBEN 10 CÁPSULAS BLANDAS 10 mg,F-15491,ISDIN CHILE LTDA.
6,Acné,ISOTRETINOÍNA,Roaccutan,Roche,ISOCIP CÁPSULAS 30 mg,F-21906,LABORATORIOS ANDRÓMACO S.A.
7,Acné,ISOTRETINOÍNA,Roaccutan,Roche,ISOCIP CÁPSULAS 10 mg,F-21905,LABORATORIOS ANDRÓMACO S.A.
8,Acné,ISOTRETINOÍNA,Roaccutan,Roche,PIPLEX CÁPSULAS BLANDAS 20 mg,F-8010,LABORATORIOS RECALCINE S.A.
9,Alzheimer,DONEPECILO,Eranz,Laboratorios Wyeth,NEPOKARE COMPRIMIDOS RECUBIERTOS 10 mg,F-19402,ETEX FARMACÉUTICA LTDA.
10,Alzheimer,DONEPECILO,Eranz,Laboratorios Wyeth,NEPOKARE COMPRIMIDOS RECUBIERTOS 5 mg,F-19401,ETEX FARMACÉUTICA LTDA.
11,Alzheimer,DONEPECILO,Eranz,Laboratorios Wyeth,DOPABEN COMPRIMIDOS RECUBIERTOS 10 mg,F-15607,LABORATORIO CHILE S.A.
12,Alzheimer,DONEPECILO,Eranz,Laboratorios Wyeth,EVIMAL COMPRIMIDOS RECUBIERTOS 10 mg,F-12081,LABORATORIOS ANDRÓMACO S.A.
13,Alzheimer,DONEPECILO,Eranz,Laboratorios Wyeth,"DONEPECILO CLORHIDRATO COMPRIMIDOS RECUBIERTOS
5 mg",F-21078,LABORATORIOS EUROMED CHILE S.A.
14,Alzheimer,DONEPECILO,Eranz,Laboratorios Wyeth,IDECLAR COMPRIMIDOS RECUBIERTOS 10 mg,F-19332,SYNTHON  CHILE LTDA.
15,Alzheimer,DONEPECILO,Eranz,Laboratorios Wyeth,IDECLAR COMPRIMIDOS RECUBIERTOS 5 mg,F-19331,SYNTHON  CHILE LTDA.
16,Alzheimer,GALANTAMINA,Reminyl ER,Janseen Cilag,GALANVITAE CÁPSULAS CON COMPRIMIDOS DE LIBERACIÓN PROLONGADA 8 mg (GALANTAMINA),F-21365,GALENICUM HEALTH CHILE S.p.A.
17,Alzheimer,GALANTAMINA,Reminyl ER,Janseen Cilag,GALANVITAE CÁPSULAS CON COMPRIMIDOS DE LIBERACIÓN PROLONGADA 16 mg,F-21366,GALENICUM HEALTH CHILE S.p.A.
18,Alzheimer,MEMANTINA,Ebixa,Lundbeck,MEMIKARE COMPRIMIDOS RECUBIERTOS 10 mg,F-18186,ETEX FARMACÉUTICA LTDA.
19,Alzheimer,MEMANTINA,Ebixa,Lundbeck,MEMANVITAE COMPRIMIDOS RECUBIERTOS 10 mg,F-21467,GALENICUM HEALTH CHILE S.p.A.
20,Alzheimer,MEMANTINA,Ebixa,Lundbeck,"MEMANTINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
10 mg",F-21511,LABORATORIOS RAFFO S.A.
21,Alzheimer,MEMANTINA,Ebixa,Lundbeck,MENTIUM COMPRIMIDOS RECUBIERTOS 10 mg,F-20156,SYNTHON  CHILE LTDA.
22,Alzheimer,MEMANTINA,Ebixa,Lundbeck,MENTIUM COMPRIMIDOS RECUBIERTOS 20 mg,F-20157,SYNTHON  CHILE LTDA.
23,Alzheimer,MEMANTINA,Ebixa,Lundbeck,MENTIUM COMPRIMIDOS RECUBIERTOS 10 mg,F-21148,SYNTHON  CHILE LTDA.
24,Alzheimer,MEMANTINA,Ebixa,Lundbeck,MENTIUM COMPRIMIDOS RECUBIERTOS 20 mg,F-21149,SYNTHON  CHILE LTDA.
25,Analgésico / Antiinflamatorio,ÁCIDO MEFENÁIMICO,Tanston,Pfizer,SICADOL FORTE COMPRIMIDOS 500 mg,F-4083,SYNTHON CHILE LTDA.
26,Analgésico / Antiinflamatorio,ÁCIDO MEFENÁIMICO,Tanston,Pfizer,ÁCIDO MEFENÁMICO COMPRIMIDOS 500 mg,F-8701,SYNTHON CHILE LTDA.
27,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer,ARGIUM CAPSULAS 200 mg,F-22145,LABORATORIO CHILE S.A.
28,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer,COXDOS CÁPSULAS 200 mg,F-21624,LABORATORIOS ANDRÓMACO S.A.
29,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer,GESIX CÁPSULAS 200 mg (CELECOXIB),F-21435,LABORATORIOS SAVAL S.A.
30,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer,ARTREXIB CÁPSULAS 200 mg,F-19975,NOVARTIS CHILE S.A.
31,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer,CELECOXIB CÁPSULAS 200 mg,F-20673,PFIZER CHILE S.A.
32,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer,CAPSURE CÁPSULAS 200 mg,F-20674,PFIZER CHILE S.A.
33,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer,CELEDOX CÁPSULAS 200 mg,F-21203,SYNTHON  CHILE LTDA.
34,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 200 mg,F-22279,ASCEND LABORATORIES S.p.A.
35,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-20013,ASCEND LABORATORIES SpA
36,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-20047,ASCEND LABORATORIES SpA
37,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 200 mg,F-20393,ASCEND LABORATORIES SpA
38,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-21593,ASCEND LABORATORIES SpA
39,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-21594,ASCEND LABORATORIES SpA
40,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-21632,ASCEND LABORATORIES SpA
41,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-21633,ASCEND LABORATORIES SpA
42,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPIRAC LC CÁPSULAS BLANDAS 400 mg,F-20999,CHEMOPHARMA S.A.
43,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPIRAC LC CÁPSULAS BLANDAS 600 mg,F-21000,CHEMOPHARMA S.A.
44,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPIRAC LC CÁPSULAS BLANDAS 200 mg,F-21967,CHEMOPHARMA S.A.
45,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-18594,EUROMED CHILE S.A.
46,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS 400 mg,F-18139,LABORATORIO CHILE S.A.
