,,"      Listado de productos Bioequivalentes, actualizado al 31 de Enero de 2016                ",,,,,
N°,Uso / Tratamiento,Principio Activo,Producto de referencia,Titular,Producto ,Registro,Titular
1,Acné,ISOTRETINOÍNA,Roaccutan,Roche ,ORALNE CÁPSULAS BLANDAS 20 mg,F-19579,DEUTSCHE PHARMA S.A.
2,Acné,ISOTRETINOÍNA,Roaccutan,Roche ,ORALNE CÁPSULAS BLANDAS 5 mg (ISOTRETINOÍNA),F-21607,DEUTSCHE PHARMA S.A.
3,Acné,ISOTRETINOÍNA,Roaccutan,Roche ,ORALNE CÁPSULAS BLANDAS 10 mg,F-19577,DEUTSCHE PHARMA S.A.
4,Acné,ISOTRETINOÍNA,Roaccutan,Roche ,ISDIBEN 20 CÁPSULAS BLANDAS 20 mg,F-15492,ISDIN CHILE LTDA.
5,Acné,ISOTRETINOÍNA,Roaccutan,Roche ,ISDIBEN 10 CÁPSULAS BLANDAS 10 mg,F-15491,ISDIN CHILE LTDA.
6,Acné,ISOTRETINOÍNA,Roaccutan,Roche ,ACNERAL CÁPSULAS BLANDAS 20 mg,F-22419,LABORATORIO CHILE S.A.
7,Acné,ISOTRETINOÍNA,Roaccutan,Roche ,ACNERAL CÁPSULAS BLANDAS 10 mg,F-22424,LABORATORIO CHILE S.A.
8,Acné,ISOTRETINOÍNA,Roaccutan,Roche ,ISOCIP CÁPSULAS 30 mg,F-21906,LABORATORIOS ANDRÓMACO S.A.
9,Acné,ISOTRETINOÍNA,Roaccutan,Roche ,ISOCIP CÁPSULAS 10 mg,F-21905,LABORATORIOS ANDRÓMACO S.A.
10,Acné,ISOTRETINOÍNA,Roaccutan,Roche ,PIPLEX CÁPSULAS BLANDAS 20 mg,F-8010,LABORATORIOS RECALCINE S.A.
11,Alzheimer,DONEPECILO,Eranz,Laboratorios Wyeth,NEPOKARE COMPRIMIDOS RECUBIERTOS 10 mg,F-19402,ETEX FARMACÉUTICA LTDA.
12,Alzheimer,DONEPECILO,Eranz,Laboratorios Wyeth,NEPOKARE COMPRIMIDOS RECUBIERTOS 5 mg,F-19401,ETEX FARMACÉUTICA LTDA.
13,Alzheimer,DONEPECILO,Eranz,Laboratorios Wyeth,DOPABEN COMPRIMIDOS RECUBIERTOS 10 mg,F-15607,LABORATORIO CHILE S.A.
14,Alzheimer,DONEPECILO,Eranz,Laboratorios Wyeth,EVIMAL COMPRIMIDOS RECUBIERTOS 10 mg,F-12081,LABORATORIOS ANDRÓMACO S.A.
15,Alzheimer,DONEPECILO,Eranz,Laboratorios Wyeth,DONEPECILO CLORHIDRATO COMPRIMIDOS RECUBIERTOS  5 mg,F-21078,LABORATORIOS EUROMED CHILE S.A.
16,Alzheimer,DONEPECILO,Eranz,Laboratorios Wyeth,IDECLAR COMPRIMIDOS RECUBIERTOS 10 mg,F-19332,SYNTHON  CHILE LTDA.
17,Alzheimer,DONEPECILO,Eranz,Laboratorios Wyeth,IDECLAR COMPRIMIDOS RECUBIERTOS 5 mg,F-19331,SYNTHON  CHILE LTDA.
