,Listado de productos Bioequivalentes actualizado al 09 de Octubre de 2015,,,,,,
N°,Uso / Tratamiento,Principio Activo,Producto de referencia,Titular,Producto,Registro,Titular
1,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer,ARGIUM CAPSULAS 200 mg,F-22145,LABORATORIO CHILE S.A.
2,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer,COXDOS CÁPSULAS 200 mg,F-21624,LABORATORIOS ANDRÓMACO S.A.
3,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer,GESIX CÁPSULAS 200 mg (CELECOXIB),F-21435,LABORATORIOS SAVAL S.A.
4,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer,ARTREXIB CÁPSULAS 200 mg,F-19975,NOVARTIS CHILE S.A.
5,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer,CELECOXIB CÁPSULAS 200 mg,F-20673,PFIZER CHILE S.A.
6,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer,CAPSURE CÁPSULAS 200 mg,F-20674,PFIZER CHILE S.A.
7,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer,CELEDOX CÁPSULAS 200 mg,F-21203,SYNTHON CHILE LTDA.
8,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-20013,ASCEND LABORATORIES SpA
9,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-20047,ASCEND LABORATORIES SpA
10,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",IBUPROFENO COMPRIMIDOS RECUBIERTOS 200 mg,F-20393,ASCEND LABORATORIES SpA
11,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-21593,ASCEND LABORATORIES SpA
12,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-21594,ASCEND LABORATORIES SpA
13,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-21632,ASCEND LABORATORIES SpA
14,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-21633,ASCEND LABORATORIES SpA
15,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",IBUPIRAC LC CÁPSULAS BLANDAS 400 mg,F-20999,CHEMOPHARMA S.A.
16,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",IBUPIRAC LC CÁPSULAS BLANDAS 600 mg,F-21000,CHEMOPHARMA S.A.
17,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",IBUPIRAC LC CÁPSULAS BLANDAS 200 mg,F-21967,CHEMOPHARMA S.A.
18,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-18594,EUROMED CHILE S.A.
19,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",IBUPROFENO COMPRIMIDOS 400 mg,F-18139,LABORATORIO CHILE S.A.
20,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-18140,LABORATORIO CHILE S.A.
21,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",BEDIATIL COMPRIMIDOS 200 mg (IBUPROFENO),F-6436,LABORATORIO PASTEUR S.A.
22,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",BEDIATIL 400 COMPRIMIDOS RECUBIERTOS 400 mg (IBUPROFENO),F-16898,LABORATORIO PASTEUR S.A.
23,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",IBUPROFENO COMPRIMIDOS 200 mg,F-12546,LABORATORIO PASTEUR S.A.
24,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",IBUCON COMPRIMIDOS RECUBIERTOS 400 mg,F-16738,LABORATORIOS EUROMED CHILE S.A.
25,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-18181,LABORATORIOS EUROMED CHILE S.A.
26,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-18182,LABORATORIOS EUROMED CHILE S.A.
27,Analgésico / Antiinflamatorio,IBUPROFENO,"1.- Nurofen
2.- Brufen","1.- Reckitt Benckiser
2.- Abbott Laboratories",IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-19794,LABORATORIOS ANDRÓMACO S.A.
